PMC5762833_OgerInput.txtOger_out.csv:62 11BETA-hydroxylase
PMC5762833_OgerInput.txtOger_out.csv:62 11BETA-hydroxylase
PMC7570361_OgerInput.txtOger_out.csv:30 17,20 lyase
PMC7570361_OgerInput.txtOger_out.csv:30 17,20 lyase
PMC6857441_OgerInput.txtOger_out.csv:107 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:107 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:217 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:217 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:267 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:267 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:75 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:75 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:76 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:76 17,20-lyase
PMC7084598_OgerInput.txtOger_out.csv:200 17,20-lyase
PMC7084598_OgerInput.txtOger_out.csv:200 17,20-lyase
PMC7570361_OgerInput.txtOger_out.csv:37 17,20-lyase
PMC7570361_OgerInput.txtOger_out.csv:37 17,20-lyase
PMC6857441_OgerInput.txtOger_out.csv:70 17ALPHA-hydroxylase
PMC6857441_OgerInput.txtOger_out.csv:70 17ALPHA-hydroxylase
PMC7570361_OgerInput.txtOger_out.csv:29 17ALPHA-hydroxylase
PMC7570361_OgerInput.txtOger_out.csv:29 17ALPHA-hydroxylase
PMC6857441_OgerInput.txtOger_out.csv:208 21-hydroxylase
PMC6857441_OgerInput.txtOger_out.csv:208 21-hydroxylase
PMC6857441_OgerInput.txtOger_out.csv:369 21-hydroxylase
PMC6857441_OgerInput.txtOger_out.csv:369 21-hydroxylase
PMC5762833_OgerInput.txtOger_out.csv:62 4-nitrophenol-2-hydroxylase
PMC5363288_OgerInput.txtOger_out.csv:166 7-ethoxyresorufin-o-deethylase
PMC7407958_OgerInput.txtOger_out.csv:35 7-ethoxyresorufin-O-deethylase
PMC5762833_OgerInput.txtOger_out.csv:62 aldosterone synthase
PMC5762833_OgerInput.txtOger_out.csv:62 aldosterone synthase
PMC6857441_OgerInput.txtOger_out.csv:68 aldosterone synthase
